Période,Trimestre,Nom du bénéficiaire,Ville,Province,Pays,Titre,Langue,Genre,Date,Valeur finale,Valeur originale,Type,Objectif, 
2020-2021,P4,Goodbye Productions Inc.,Vancouver,Colombie-Britannique,Canada,Once Our Land,Anglais,Science-fiction/Film fantastique/Conte,2021-02-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Resonance Films Inc.,Vancouver,Colombie-Britannique,Canada,DESIGNATED DRIVER,Anglais,Comédie,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Resonance Films Inc.,Vancouver,Colombie-Britannique,Canada,"Hal and Charlie, 1963",Anglais,Drame,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Burns Film Ltd.,Calgary,Alberta,Canada,Clash of The Marching Bands,Anglais,Comédie,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Burns Film Ltd.,Calgary,Alberta,Canada,The Viewing Area,Anglais,Drame,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,New Real Films Inc.,Toronto,Ontario,Canada,Spencer and Jesse,Anglais,Comédie,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,New Real Films Inc.,Toronto,Ontario,Canada,The Story of Polly Childs As Told By Her Enemies,Anglais,Drame,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Too Many Words Inc.,Toronto,Ontario,Canada,Nice People,Anglais,Comédie,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Too Many Words Inc.,Toronto,Ontario,Canada,When I Grow Up,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,8448809 Canada inc.,Montréal,Québec,Canada,Crime Blanc,Français,Mystère/Crime/Police,2021-01-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,8448809 Canada inc.,Montréal,Québec,Canada,Vampire Humaniste cherche suicidaire consentant,Français,Science-fiction/Film fantastique/Conte,2021-01-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1459479 Alberta Inc. dba Raging River Productions,Calgary,Alberta,Canada,Juliet's Answer,Anglais,Comédie,2021-01-28,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1459479 Alberta Inc. dba Raging River Productions,Calgary,Alberta,Canada,Wild Goat Surf,Anglais,Drame,2021-01-28,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Vortex Comics Incorporated,Toronto,Ontario,Canada,Understudy,Anglais,Drame,2021-03-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,WANGO Films Inc.,Toronto,Ontario,Canada,The Corners,Anglais,Drame,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,WANGO Films Inc.,Toronto,Ontario,Canada,Hello Stranger,Anglais,Horreur/Suspense,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mazeking Pictures Inc.,Halifax,Nouvelle-Écosse,Canada,Episodic,Anglais,Horreur/Suspense,2021-01-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,DCP Mystery Arts Inc.,Toronto,Ontario,Canada,Fatal Frame (Working Title,Anglais,Science-fiction/Film fantastique/Conte,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Funfilm Distribution Inc.,Montréal,Québec,Canada,Le Meilleur Pays du Monde,Français,Drame,2021-03-10,15000.00,15000.00,Avance,Programme de mise en marché,0
2020-2021,P4,Trilight Entertainment Inc.,Calgary,Alberta,Canada,Honeybee,Anglais,Drame,2021-01-25,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Trilight Entertainment Inc.,Calgary,Alberta,Canada,Tim Horton,Anglais,Drame,2021-01-25,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Second Chance Productions Inc.,Vancouver,Colombie-Britannique,Canada,THE EDGE OF THE WORLD,Anglais,Science-fiction/Film fantastique/Conte,2021-01-27,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1918153 Ontario Ltd.,Toronto,Ontario,Canada,Junkie Run,Anglais,Drame,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1918153 Ontario Ltd.,Toronto,Ontario,Canada,Lost In Larabee,Anglais,Science-fiction/Film fantastique/Conte,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Experimental Forest Films Inc.,Vancouver,Colombie-Britannique,Canada,Perigean Tide,Anglais,Drame,2021-01-22,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Experimental Forest Films Inc.,Vancouver,Colombie-Britannique,Canada,The Expedition,Anglais,Drame,2021-01-22,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Banana-Moon Sky Films Inc.,Toronto,Ontario,Canada,The Time We Met,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Banana-Moon Sky Films Inc.,Toronto,Ontario,Canada,Saving Hicksville,Anglais,Science-fiction/Film fantastique/Conte,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Carousel Pictures Inc.,Toronto,Ontario,Canada,Starring Phil Hartman,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Carousel Pictures Inc.,Toronto,Ontario,Canada,Sofia's Reckoning,Anglais,Horreur/Suspense,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Wildling Pictures Inc.,Toronto,Ontario,Canada,Laura Dean Keeps Breaking Up with Me,Anglais,Comédie romantique,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Wildling Pictures Inc.,Toronto,Ontario,Canada,Paying For It,Anglais,Comédie romantique,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Reign Films Inc.,Vancouver,Colombie-Britannique,Canada,Eddie and His Dad,Anglais,Drame,2021-01-28,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Reign Films Inc.,Vancouver,Colombie-Britannique,Canada,Hard Done By,Anglais,Western,2021-01-28,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Iylond Entertainment Inc.,Okotoks,Alberta,Canada,Collision,Anglais,Drame,2021-02-09,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Iylond Entertainment Inc.,Okotoks,Alberta,Canada,The Plains,Anglais,Western,2021-02-09,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,C&Y Cinema Ltd.,Toronto,Ontario,Canada,God Mother,Anglais,Horreur/Suspense,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Cineast Screen Development Limited,Halifax,Nouvelle-Écosse,Canada,Blood On Steel,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Cineast Screen Development Limited,Halifax,Nouvelle-Écosse,Canada,RETREAT,Anglais,Horreur/Suspense,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Achromatic Media Inc.,Montréal,Québec,Canada,The Hewitt Sisters,Anglais,Drame,2021-01-21,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Raven West Films Ltd.,Vancouver,Colombie-Britannique,Canada,RAISING CAIN,Anglais,Drame,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Raven West Films Ltd.,Vancouver,Colombie-Britannique,Canada,THE APARTMENT,Anglais,Drame historique,2021-01-14,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,N5 Pictures Inc.,Mississauga,Ontario,Canada,Imam,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,N5 Pictures Inc.,Mississauga,Ontario,Canada,Marooned,Anglais,Science-fiction/Film fantastique/Conte,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mazewalker Films Inc.,Bear River,Nouvelle-Écosse,Canada,Wolfboy / a'q?ti-paqtismit,Anglais,Horreur/Suspense,2021-01-29,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mazewalker Films Inc.,Bear River,Nouvelle-Écosse,Canada,Skite'kmujua'kik,Anglais,Science-fiction/Film fantastique/Conte,2021-01-29,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,G.P.A. Films Inc.,Longueuil,Québec,Canada,Mon soeur,Français,Comédie,2021-01-26,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,G.P.A. Films Inc.,Longueuil,Québec,Canada,Seule au front,Français,Drame,2021-01-26,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Vroom Productions Inc.,Dewittville,Québec,Canada,Prude,Anglais,Drame,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Tiger Mister Productions Inc.,Toronto,Ontario,Canada,Arctic Chills: Seacrets,Anglais,Horreur/Suspense,2021-03-15,100000.00,100000.00,Contribution,Programme Talents en vue,0
2020-2021,P4,Tiger Mister Productions Inc.,Toronto,Ontario,Canada,Arctic Chills: Reclaim,Anglais,Horreur/Suspense,2021-03-15,100000.00,100000.00,Contribution,Programme Talents en vue,0
2020-2021,P4,HYPEPOET FILM INC.,Vancouver,Colombie-Britannique,Canada,The Chinatown Diner,Anglais,Drame,2021-01-27,150000.00,150000.00,Contribution,Programme Talents en vue,0
2020-2021,P4,Films IDL inc.,Montréal,Québec,Canada,HEARTLESS,Anglais,Drame,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Films IDL inc.,Montréal,Québec,Canada,Avis de Tempête,Français,Drame,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Studio Via Le Monde Inc. (Le),Dorval,Québec,Canada,"Amazonie, à la rencontre des gardiens et des gardiennes de la forêt",Français,Documentaire,2021-01-06,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,775 Media Corp.,Calgary,Alberta,Canada,The Spawning,Anglais,Science-fiction/Film fantastique/Conte,2021-03-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Ballinran Productions Limited,Stratford,Ontario,Canada,Theatreville: A Stage Revolution,Anglais,Documentaire,2021-02-17,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Ballinran Productions Limited,Stratford,Ontario,Canada,Clara Callan,Anglais,Drame,2021-02-17,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Play Your Gender Inc.,Dartmouth,Nouvelle-Écosse,Canada,Dry Clean,Anglais,Drame,2021-01-27,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Tohkapi Cinema Ltd.,North Vancouver,Colombie-Britannique,Canada,Woke,Anglais,Drame,2021-01-29,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Alyson Richards Productions Inc.,Hamilton,Ontario,Canada,ASS(t),Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Alyson Richards Productions Inc.,Hamilton,Ontario,Canada,Mail Order Bride,Anglais,Comédie romantique,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,7e Art Distribution,Laval,Québec,Canada,Hotel Limbo,Anglais,Comédie,2021-01-04,25000.00,25000.00,Avance,Programme de mise en marché,0
2020-2021,P4,Conciliatory Pictures Inc.,Halifax,Nouvelle-Écosse,Canada,Splinters,Anglais,Drame,2021-03-08,24999.00,24999.00,Avance,Programme de mise en marché,0
2020-2021,P4,Wolf Spirit Films Inc.,North Vancouver,Colombie-Britannique,Canada,Game Bone,Anglais,Drame,2021-02-03,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Idlewild Films Limited,Halifax,Nouvelle-Écosse,Canada,Deb's Bracelet Or Cutting Through Spiritual Materialism,Anglais,Comédie,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Idlewild Films Limited,Halifax,Nouvelle-Écosse,Canada,Today I learned It Was You,Anglais,Comédie,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Woods Entertainment Canada Inc.,Toronto,Ontario,Canada,Simone and Thorsten,Anglais,Drame,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Woods Entertainment Canada Inc.,Toronto,Ontario,Canada,Aliens v. Robots,Anglais,Science-fiction/Film fantastique/Conte,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Secteur Films inc.,Montréal,Québec,Canada,L'homme seul,Français,Drame,2021-01-08,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Victory Man Productions,Toronto,Ontario,Canada,Humane,Anglais,Horreur/Suspense,2021-03-10,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Devout Productions Ltd.,Victoria,Colombie-Britannique,Canada,Baby Tooth,Anglais,Drame,2021-02-01,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Devout Productions Ltd.,Victoria,Colombie-Britannique,Canada,Raya,Anglais,Drame,2021-02-01,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,All Soules Films Inc.,Toronto,Ontario,Canada,IF LOOKS COULD KILL,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,All Soules Films Inc.,Toronto,Ontario,Canada,THE WOLF AND THE CROW,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Red Cedar Films Inc.,Vancouver,Colombie-Britannique,Canada,The Blue Door,Anglais,Drame,2021-02-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Hogan Millar Media Inc.,Vancouver,Colombie-Britannique,Canada,Renegade: The Emily Carr Story,Anglais,Documentaire,2021-02-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Amerique Film Inc.,Montréal,Québec,Canada,Deux femmes en or,Français,Comédie,2021-01-06,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Loud Baby Productions Inc.,Bedford,Nouvelle-Écosse,Canada,Fire And Darkness,Anglais,Documentaire,2021-01-08,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Artemis Films Inc.,Montréal,Québec,Canada,Tricheurs,Français,Comédie,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Saaren Films Inc.,Toronto,Ontario,Canada,Love Raffi - The Soundtrack to Our Childhood,Anglais,Documentaire,2021-02-08,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Saaren Films Inc.,Toronto,Ontario,Canada,The Syrian Dancer,Anglais,Drame,2021-02-08,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Bunk 11 Pictures Inc.,Ottawa,Ontario,Canada,The Retreat,Anglais,Comédie,2021-01-13,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Bunk 11 Pictures Inc.,Ottawa,Ontario,Canada,Moon Margin,Anglais,Science-fiction/Film fantastique/Conte,2021-01-13,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Compass Productions Inc.,Montréal,Québec,Canada,The Last Guardian,Anglais,Action/Aventure,2021-01-07,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Compass Productions Inc.,Montréal,Québec,Canada,Faerie,Anglais,Drame,2021-01-07,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mosaic Entertainment Inc.,Port Moody,Colombie-Britannique,Canada,PB&J,Anglais,Drame,2021-02-04,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Babe Nation Creations Inc.,Toronto,Ontario,Canada,"Alice, Darling",Anglais,Drame,2021-03-10,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Babe Nation Creations Inc.,Toronto,Ontario,Canada,Bonjour Tristesse,Anglais,Drame,2021-03-10,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,YN Films Inc.,Toronto,Ontario,Canada,Sinners,Anglais,Mystère/Crime/Police,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,The Hunting Party Inc.,St. John's,Terre-Neuve/Labrador,Canada,Showdown at Ashuanipi Lake,Anglais,Western,2021-02-03,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Gearshift Films Inc.,Toronto,Ontario,Canada,Greta Follows Rivers,Anglais,Drame,2021-01-19,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Gearshift Films Inc.,Toronto,Ontario,Canada,Harbinger,Anglais,Horreur/Suspense,2021-01-19,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Realm Productions & Advertising Inc.,Saint John,Nouveau-Brunswick,Canada,Beckon of the Beast,Anglais,Horreur/Suspense,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Paul Spence & Associates Inc.,Sainte-Marguerite-du-Lac-Masson,Québec,Canada,Just Giver,Anglais,Comédie,2021-02-04,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Black Dog Films Inc.,Halifax,Nouvelle-Écosse,Canada,YOU'RE DOING FAR WORSE THAN YOU COULD POSSIBLY IMAGINE,Anglais,Comédie,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Black Dog Films Inc.,Halifax,Nouvelle-Écosse,Canada,REMEMBER TO BREATHE,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1976 Productions Inc.,Montréal,Québec,Canada,Arrête la comédie,Français,Comédie,2021-01-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,1976 Productions Inc.,Montréal,Québec,Canada,Racines,Français,Drame,2021-01-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,THUNDERBIRDMANFILMS Inc.,Selkirk,Manitoba,Canada,LizBo,Anglais,Drame,2021-02-15,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Transmar Films Inc.,Montréal,Québec,Canada,"Nous, la forêt",Français,Documentaire,2021-01-13,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Transmar Films Inc.,Montréal,Québec,Canada,Rex,Français,Mystère/Crime/Police,2021-01-13,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Banger Films Inc.,Toronto,Ontario,Canada,Let's Talk About Sex,Anglais,Documentaire,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Banger Films Inc.,Toronto,Ontario,Canada,Witch,Anglais,Documentaire,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Copperheart Entertainment Inc.,Toronto,Ontario,Canada,NIGHT OF THE ZOOmbies,Anglais,Comédie,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Borrowed Light Films Inc.,Toronto,Ontario,Canada,The Letter,Anglais,Drame,2021-01-18,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,12336707 Canada Inc.,Indian Island,Nouveau-Brunswick,Canada,The Green Waterways,Anglais,Drame,2021-01-20,150000.00,150000.00,Contribution,Programme Talents en vue,0
2020-2021,P4,2447134 Ontario Inc.,Toronto,Ontario,Canada,The Second Season,Anglais,Horreur/Suspense,2021-01-28,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Fall Back Down Productions Inc.,Vancouver,Colombie-Britannique,Canada,CYCLING TO ASYLUM,Anglais,Drame,2021-03-23,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Fall Back Down Productions Inc.,Vancouver,Colombie-Britannique,Canada,The Estate,Anglais,Horreur/Suspense,2021-03-23,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mad Samurai Productions Inc.,Richmond,Colombie-Britannique,Canada,GREEN,Anglais,Drame,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Mad Samurai Productions Inc.,Richmond,Colombie-Britannique,Canada,Hunting Season,Anglais,Science-fiction/Film fantastique/Conte,2021-01-11,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Bunbury Films Inc.,Montréal,Québec,Canada,Christmas in Chibougamau,Anglais,Comédie,2021-01-07,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Bunbury Films Inc.,Montréal,Québec,Canada,Rebirth of a Nation,Anglais,Documentaire,2021-01-07,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Cayenne Médias Inc.,Wendake,Québec,Canada,Ma propre histoire,Français,Documentaire,2021-01-12,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Cayenne Médias Inc.,Wendake,Québec,Canada,Saisons de chasse,Français,Documentaire,2021-01-12,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,6909060 Canada Inc.,Montréal,Québec,Canada,The Pink Crystal,Anglais,Comédie,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,6909060 Canada Inc.,Montréal,Québec,Canada,Consent,Anglais,Drame,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Downstream Documentary Productions Inc.,Saskatoon,Saskatchewan,Canada,Singing Back the Buffalo,Anglais,Documentaire,2021-02-09,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Les Films Sanajik inc.,Longueuil,Québec,Canada,Hudson's Bay(bies),Anglais,Documentaire,2021-01-07,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Marie Clements Media Inc.,Galiano Island,Colombie-Britannique,Canada,The McLean Boys,Anglais,Western,2021-03-04,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Motel Pictures Inc.,Lynden,Ontario,Canada,White Creek File,Anglais,Drame,2021-01-15,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Solo Productions Inc.,Toronto,Ontario,Canada,Us in 9 Months,Anglais,Comédie,2021-02-22,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Solo Productions Inc.,Toronto,Ontario,Canada,Every Little Word (aka Armstrong's War),Anglais,Drame,2021-02-22,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Emotion Pictures Incorporated,Halifax,Nouvelle-Écosse,Canada,Clara and Vanessa,Anglais,Drame,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Emotion Pictures Incorporated,Halifax,Nouvelle-Écosse,Canada,Aversion,Anglais,Horreur/Suspense,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Midnight Lamp Films Inc.,Toronto,Ontario,Canada,The Coal Mine,Anglais,Documentaire,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Midnight Lamp Films Inc.,Toronto,Ontario,Canada,Cloudless,Anglais,Drame,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,White Pine Pictures Inc.,Toronto,Ontario,Canada,The Con:  Churchill and Roosevelt's Secret American War,Anglais,Documentaire,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,White Pine Pictures Inc.,Toronto,Ontario,Canada,Woodstock Dreaming,Anglais,Documentaire,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Grassfire Films Inc.,New Waterford,Nouvelle-Écosse,Canada,Hole In The Wall,Anglais,Horreur/Suspense,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Wreckhouse Productions Inc.,St. John's,Terre-Neuve/Labrador,Canada,Party Pirate,Anglais,Comédie,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Wreckhouse Productions Inc.,St. John's,Terre-Neuve/Labrador,Canada,Another Beautiful Day,Anglais,Drame,2021-01-20,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,White Bear Films Inc.,Winnipeg,Manitoba,Canada,Operation Deathstalkers,Anglais,Action/Aventure,2021-03-01,18000.00,18000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,White Bear Films Inc.,Winnipeg,Manitoba,Canada,War Cry: The Death of a Movement,Anglais,Documentaire,2021-03-01,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Microclimat Films inc.,Sutton,Québec,Canada,Le Train,Français,Science-fiction/Film fantastique/Conte,2021-01-21,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,9219-2418 Québec Inc.,Montréal,Québec,Canada,Bàc Quang,Français,Documentaire,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,9219-2418 Québec Inc.,Montréal,Québec,Canada,Rage,Anglais,Drame,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Rezolution Pictures International Inc.,Outremont,Québec,Canada,Born To Be Wild,Anglais,Documentaire,2021-02-10,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Rezolution Pictures International Inc.,Outremont,Québec,Canada,Chasing Destiny,Anglais,Drame,2021-02-10,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Free Spirit Films Inc.,Toronto,Ontario,Canada,The Renovation,Anglais,Drame,2021-01-19,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Free Spirit Films Inc.,Toronto,Ontario,Canada,The Woman Who Loves Giraffes,Anglais,Drame,2021-01-19,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Massey Productions Ltd.,Vancouver,Colombie-Britannique,Canada,CROSSED,Anglais,Horreur/Suspense,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,First Take Entertainment Ltd.,Oakville,Ontario,Canada,Black Ice,Anglais,Documentaire,2021-01-26,36584.00,36584.00,Avance,Programme d'aide au développement,0
2020-2021,P4,First Take Entertainment Ltd.,Oakville,Ontario,Canada,Count,Anglais,Drame,2021-01-26,22838.00,22838.00,Avance,Programme d'aide au développement,0
2020-2021,P4,julijette inc.,Winnipeg,Manitoba,Canada,Echoes,Anglais,Drame historique,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,julijette inc.,Winnipeg,Manitoba,Canada,Nightingale,Anglais,Science-fiction/Film fantastique/Conte,2021-01-12,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Chronicle Pictures Incorporated,Halifax,Nouvelle-Écosse,Canada,Little Grey Bubbles,Anglais,Drame,2021-01-18,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Aiken Heart Films Inc.,Toronto,Ontario,Canada,Succor,Anglais,Drame,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
2020-2021,P4,Aiken Heart Films Inc.,Toronto,Ontario,Canada,The Dionne Years,Anglais,Drame,2021-01-29,15000.00,15000.00,Avance,Programme d'aide au développement,0
